path,type,classification,reason,evidence_of_liveness_or_deadness,planned_action,replacement_or_target_path
legacy/main.py,file,KEEP_BASELINE,authoritative legacy baseline source,explicit baseline doctrine + parity docs,keep,legacy/main.py
legacy/Quality Audit.py,file,KEEP_BASELINE,authoritative legacy baseline source,explicit baseline doctrine + parity docs,keep,legacy/Quality Audit.py
docs/legacy_parity/,folder,KEEP_DOC_OR_EVIDENCE,active parity evidence package,referenced by acceptance docs/scripts,keep,docs/legacy_parity/
tests/parity/,folder,KEEP_ACTIVE,active parity tests,pytest suite references,keep,tests/parity/
tests/golden_expectations/,folder,KEEP_ACTIVE,active golden expectations,pytest coverage and parity checks,keep,tests/golden_expectations/
quality_audit/__pycache__/,folder,DELETE_GENERATED,python bytecode cache,generated and non-authoritative,delete,
quality_audit/**/*.pyc,file,DELETE_GENERATED,python bytecode cache,generated and non-authoritative,delete,
tests/__pycache__/,folder,DELETE_GENERATED,pytest bytecode cache,generated and non-authoritative,delete,
tests/**/*.pyc,file,DELETE_GENERATED,pytest bytecode cache,generated and non-authoritative,delete,
scripts/__pycache__/,folder,DELETE_GENERATED,script bytecode cache,generated and non-authoritative,delete,
.mypy_cache/,folder,DELETE_GENERATED,tooling cache,reproducible local cache,delete,
.pytest_cache/,folder,DELETE_GENERATED,tooling cache,reproducible local cache,delete,
quality_audit.zip,file,MOVE_TO_ARCHIVE,root-level artifact not used by runtime/tests,no import/script/doc hard reference in active path,move,archive/misc_reference/quality_audit.zip
quality_audit_legacy_parity_report.docx,file,MOVE_TO_BETTER_LOCATION,parity evidence doc should live with parity docs,evidence artifact not runtime module,move,docs/legacy_parity/evidence/quality_audit_legacy_parity_report.docx
TASK.md,file,MOVE_TO_ARCHIVE,root-level duplicate task doc causes root sprawl,active task doc exists under docs/TASK.md,move,archive/deprecated_docs/TASK.root.md
todos.md,file,MOVE_TO_ARCHIVE,loose scratch planning artifact,not used by runtime/tests/scripts,move,archive/misc_reference/todos.md
gap_report.csv,file,MOVE_TO_BETTER_LOCATION,generated report should be under reports/,script now defaults to reports/gap_report.csv,move,reports/gap_report.csv
log.txt,file,MOVE_TO_ARCHIVE,runtime artifact and ignored junk,not required by runtime/tests and already ignored,move,archive/misc_reference/log.txt
openmemory.md,file,KEEP_DOC_OR_EVIDENCE,project memory/reference doc,referenced in architecture/audit docs,keep,openmemory.md
main.py,file,KEEP_ACTIVE,CLI wrapper entrypoint,referenced in README/pyproject/docs/tests,keep,main.py
